total_quantity,business_quantity,personal_quantity,request_type,total_time
153,152,1,debt,384.94
119,73,46,existence,312.32
91,8,83,payment,168.67
106,72,34,existence,322.68
2,2,0,existence,4.96
12,5,7,payment,35.39
123,93,30,payment,348.9
57,24,33,payment,148.78
146,55,91,debt,310.13
125,62,63,payment,270.28
68,33,35,debt,190.92
150,18,132,debt,332.55
124,50,74,existence,379.87
124,26,98,payment,233.83
81,39,42,existence,180.85
15,7,8,existence,24.99
156,69,87,debt,307.93
90,21,69,existence,223.9
99,40,59,debt,313.4
56,23,33,payment,141.63
97,17,80,payment,181.47
93,48,45,existence,246.36
90,77,13,debt,324.35
96,60,36,debt,318.86
155,110,45,existence,481.53
66,27,39,payment,193.1
2,1,1,payment,20.14
50,44,6,existence,134.85
28,14,14,payment,71.78
143,83,60,existence,278.15
95,37,58,payment,194.59
15,12,3,payment,42.5
127,63,64,payment,247.15
12,4,8,debt,53.53
20,11,9,debt,63.29
138,16,122,existence,289.64
27,18,9,existence,85.15
157,154,3,existence,380.55
105,38,67,debt,282.41
74,45,29,debt,186.09
45,26,19,debt,143.79
53,28,25,debt,139.82
52,43,9,payment,127.57
121,63,58,debt,239
109,35,74,payment,197.9
92,76,16,payment,245.65
147,94,53,existence,345.49
44,26,18,debt,139.12
121,38,83,debt,221.72
122,80,42,existence,224.12
39,17,22,payment,79.28
148,135,13,payment,510.43
133,130,3,debt,403.36
140,48,92,debt,258.98
79,21,58,existence,151.39
121,62,59,debt,318.71
2,2,0,existence,5.26
99,99,0,payment,343.64
43,1,42,existence,98.01
102,9,93,existence,229.33
29,27,2,payment,100.03
32,25,7,existence,61.76
138,30,108,existence,335.15
38,23,15,payment,79.27
132,8,124,debt,230.32
65,14,51,debt,183.74
138,57,81,payment,416.32
70,27,43,existence,121.98
61,35,26,debt,194.29
130,18,112,existence,278.09
71,45,26,debt,199.27
124,41,83,existence,343.49
127,73,54,payment,303.77
135,133,2,existence,449.81
152,125,27,existence,365.36
153,131,22,debt,506.77
117,36,81,debt,259.37
156,129,27,existence,429.43
2,2,0,payment,16.21
92,25,67,payment,186.53
101,11,90,payment,190.51
56,24,32,payment,166.34
76,74,2,payment,275.9
66,34,32,debt,176.71
86,10,76,payment,164.39
4,4,0,debt,25.05
69,7,62,debt,120.55
11,9,2,debt,48.54
1,1,0,debt,17.08
109,71,38,existence,192.93
87,13,74,existence,227.89
76,24,52,debt,209.2
76,50,26,existence,258.2
24,5,19,payment,63.35
16,9,7,existence,44.12
87,14,73,payment,236.52
69,1,68,debt,146.47
150,17,133,existence,297.96
56,10,46,existence,104.58
27,23,4,payment,86.15
153,127,26,existence,440.72
53,35,18,debt,185.3
22,18,4,debt,86.06
151,13,138,debt,286.59
57,35,22,payment,151.4
34,1,33,existence,52.13
146,102,44,debt,420.04
1,1,0,payment,9.2
143,88,55,existence,342.49
21,9,12,payment,68.93
64,28,36,payment,136.13
24,21,3,debt,79.88
111,45,66,payment,230.23
106,102,4,payment,368.54
120,108,12,debt,332.56
149,128,21,existence,453.03
102,96,6,payment,354.67
156,16,140,payment,379.31
89,59,30,existence,279.01
89,33,56,payment,269.53
148,8,140,debt,232.02
132,93,39,debt,300.33
18,8,10,existence,33.37
44,6,38,debt,68.22
101,86,15,payment,290.43
121,66,55,existence,219.8
44,36,8,existence,120.91
19,4,15,payment,54.69
15,6,9,existence,28.82
123,44,79,debt,201.69
68,41,27,debt,217.5
6,4,2,debt,30.57
13,11,2,existence,31.05
115,35,80,debt,249.94
73,58,15,debt,215.89
86,7,79,payment,188.09
14,12,2,existence,24.74
36,23,13,debt,87.15
111,89,22,debt,284.42
132,130,2,payment,430.17
4,1,3,existence,7.23
20,14,6,existence,48.96
133,16,117,payment,359.4
50,8,42,debt,101.81
27,11,16,payment,67.99
11,8,3,debt,40.96
94,13,81,debt,168.27
111,22,89,payment,295.34
23,13,10,debt,96.75
111,97,14,payment,374.1
144,38,106,payment,338.86
7,3,4,existence,20.31
129,66,63,existence,356.31
140,49,91,existence,399.93
21,11,10,debt,60.25
130,11,119,existence,193.16
94,67,27,debt,301.19
76,14,62,debt,162.43
78,54,24,payment,237.62
155,90,65,existence,491.58
31,23,8,payment,84.51
100,83,17,payment,296.52
27,14,13,payment,79.66
93,88,5,existence,286.02
90,2,88,existence,149.97
139,138,1,debt,464.45
114,31,83,debt,213.33
40,8,32,debt,117.64
12,12,0,existence,36.38
86,38,48,debt,261.5
124,20,104,payment,311.87
37,35,2,debt,142.1
110,94,16,debt,348.93
118,102,16,existence,264.61
28,6,22,existence,40.31
75,72,3,payment,251.16
16,11,5,debt,58.55
86,12,74,existence,209.41
122,114,8,debt,392.81
3,3,0,payment,23.89
19,6,13,existence,42.52
56,23,33,existence,145.96
124,82,42,existence,259.52
107,36,71,payment,244.35
117,91,26,existence,353.14
142,50,92,debt,290.72
46,2,44,debt,98.35
69,34,35,debt,203.68
115,38,77,debt,228.65
106,17,89,debt,217.57
145,21,124,payment,249.09
80,51,29,payment,205.7
37,27,10,debt,138.57
97,42,55,existence,242.83
79,29,50,debt,181.77
62,40,22,payment,157.47
85,53,32,existence,179.12
83,68,15,existence,190.47
132,127,5,debt,441.1
144,72,72,existence,454
127,107,20,debt,363.79
61,25,36,debt,150.42
53,36,17,debt,159.4
128,86,42,debt,272.05
8,7,1,debt,32.17
51,15,36,debt,137.06
132,18,114,existence,285.87
144,65,79,debt,291.79
146,28,118,debt,336.89
120,57,63,existence,323.38
67,28,39,debt,202.33
87,18,69,existence,121.4
27,6,21,payment,77.29
104,54,50,existence,278.05
2,2,0,debt,15.58
156,95,61,payment,303.59
42,12,30,payment,94.27
111,66,45,existence,277.26
11,2,9,debt,37.03
132,128,4,debt,482.44
26,13,13,existence,49.29
40,10,30,debt,103.43
91,17,74,payment,149.86
33,4,29,debt,109.21
40,37,3,payment,150.76
55,22,33,debt,180.99
22,7,15,debt,61.14
147,94,53,payment,324.73
60,31,29,existence,141.59
63,56,7,payment,194.96
68,4,64,payment,125.78
27,9,18,payment,45.66
47,11,36,debt,85.28
118,29,89,payment,255.25
138,112,26,debt,426.29
85,82,3,debt,318.02
24,6,18,debt,67.59
84,41,43,existence,162.85
135,131,4,payment,436.92
10,10,0,existence,28.01
118,13,105,existence,250.05
9,5,4,existence,19.01
99,61,38,debt,240.56
141,7,134,existence,285.33
43,32,11,existence,119.86
125,29,96,payment,310.01
71,31,40,debt,128.93
108,42,66,payment,290.52
12,6,6,existence,20.34
12,1,11,debt,39.79
44,31,13,payment,160.88
35,1,34,debt,96.02
138,41,97,existence,383.37
15,1,14,debt,51.62
14,7,7,payment,40.89
17,16,1,debt,80.9
106,51,55,debt,260.05
23,4,19,existence,40.53
62,33,29,debt,196.28
81,66,15,existence,213.64
83,26,57,debt,152.6
138,88,50,existence,398.28
120,46,74,existence,309.37
53,28,25,existence,149.56
126,57,69,payment,313.67
78,43,35,payment,177.44
67,45,22,debt,211.2
139,105,34,payment,268.58
119,115,4,debt,350.73
12,4,8,payment,40.6
130,92,38,payment,305.21
28,16,12,payment,81.93
117,65,52,payment,217.9
16,8,8,debt,63.98
29,7,22,debt,75.85
74,49,25,payment,175.65
32,22,10,payment,68.49
130,43,87,debt,322.47
143,68,75,payment,275.65
39,10,29,debt,114.81
42,33,9,existence,115.6
127,25,102,debt,267.15
77,65,12,debt,170.53
99,82,17,existence,223.66
62,62,0,payment,169.6
34,14,20,existence,69.89
77,4,73,existence,145.88
120,91,29,debt,357.59
35,21,14,debt,121.85
143,36,107,existence,260.36
130,35,95,existence,206.04
63,38,25,payment,168.55
138,56,82,debt,328.52
11,8,3,debt,55.23
141,55,86,existence,239.75
1,1,0,debt,21.67
48,26,22,existence,129.53
141,35,106,debt,226.44
101,33,68,payment,227.36
110,104,6,debt,360.33
1,1,0,existence,3.06
6,6,0,existence,15.11
37,8,29,payment,95.88
126,91,35,existence,292.15
78,51,27,debt,266.09
97,87,10,debt,341.84
9,3,6,payment,28.95
85,53,32,debt,218.8
152,23,129,payment,293.42
71,71,0,debt,249.91
154,97,57,payment,340.54
31,16,15,existence,70.69
88,74,14,debt,192.79
144,143,1,existence,471.64
43,37,6,payment,135.06
117,87,30,existence,360.33
150,40,110,debt,252.38
123,85,38,payment,314.22
35,28,7,existence,80.43
105,38,67,payment,300
37,14,23,debt,122.94
128,113,15,existence,354.36
9,7,2,payment,37.21
39,27,12,debt,127.57
138,63,75,payment,322.3
51,44,7,payment,162.75
67,33,34,debt,226.77
98,22,76,existence,264.52
3,1,2,payment,12.96
59,34,25,debt,141.91
105,94,11,existence,235.34
109,55,54,debt,251.96
141,72,69,existence,403.42
110,9,101,existence,221.96
154,70,84,payment,442.62
42,15,27,payment,109.68
114,81,33,payment,262.08
80,19,61,payment,158.28
15,6,9,debt,58.69
75,52,23,payment,243.34
45,27,18,payment,128.87
108,77,31,payment,335.31
46,9,37,debt,106.58
156,114,42,debt,531.08
126,119,7,existence,375.01
67,35,32,existence,152.08
141,7,134,debt,238.95
147,18,129,debt,374.12
63,58,5,existence,208.31
79,35,44,debt,170.05
9,3,6,debt,44.35
145,145,0,debt,380.83
125,13,112,existence,306.41
92,36,56,existence,236.86
152,139,13,payment,555.42
147,79,68,existence,281.29
136,88,48,debt,452.1
95,81,14,payment,279.75
22,1,21,payment,51.16
81,3,78,payment,167.48
21,2,19,existence,40.51
105,84,21,payment,261.52
58,33,25,debt,115.48
2,2,0,existence,4.71
129,68,61,debt,285.02
105,66,39,existence,223.35
72,15,57,debt,115.02
120,97,23,debt,364.36
31,24,7,debt,87.19
111,38,73,debt,296.44
24,5,19,existence,49.3
12,5,7,payment,41.95
111,19,92,debt,172.15
74,50,24,payment,180.78
154,77,77,debt,464.23
70,48,22,payment,175.55
1,1,0,debt,12.22
51,31,20,existence,147.25
38,36,2,debt,137.97
105,3,102,debt,213.46
22,14,8,existence,58.29
119,36,83,existence,253.22
145,21,124,payment,263.01
93,71,22,payment,207.64
83,41,42,debt,253.58
134,91,43,debt,433.98
59,22,37,existence,121.53
28,17,11,debt,95.72
157,98,59,payment,279.68
26,22,4,existence,71.36
17,4,13,existence,29.47
53,16,37,debt,155.82
154,10,144,debt,354.9
71,23,48,existence,178.52
95,90,5,debt,332.22
115,40,75,existence,272.34
83,39,44,payment,163.63
50,24,26,debt,141.64
151,64,87,existence,409.16
69,1,68,debt,147.29
124,71,53,existence,306.61
83,27,56,debt,247.49
87,42,45,existence,254.49
92,52,40,existence,225.67
38,16,22,debt,126.86
51,32,19,payment,182.49
143,36,107,debt,236.85
152,28,124,payment,393.59
3,2,1,debt,19.78
35,8,27,payment,109.38
1,1,0,existence,2.84
64,13,51,debt,161.83
156,49,107,debt,329.24
47,2,45,existence,82.35
106,9,97,existence,143.33
119,99,20,existence,287.62
69,41,28,payment,134.33
15,13,2,debt,63.29
144,56,88,debt,292.16
16,10,6,debt,49.46
72,11,61,existence,194.31
137,125,12,debt,510.52
16,9,7,debt,46.34
92,59,33,debt,278.84
2,1,1,debt,15.03
85,33,52,payment,197.66
24,22,2,debt,75.1
1,1,0,payment,13.53
125,76,49,payment,275.49
76,40,36,payment,205.93
71,1,70,existence,162.21
13,4,9,existence,34.03
115,75,40,existence,207.05
23,9,14,existence,45.4
26,6,20,payment,75.73
115,54,61,debt,317.34
15,7,8,payment,43.91
51,35,16,payment,176.71
10,4,6,payment,32.63
57,25,32,payment,142.98
117,66,51,payment,247.33
22,12,10,payment,65.78
25,2,23,debt,74.87
26,19,7,payment,79.79
134,20,114,debt,262.82
65,48,17,debt,229.85
90,20,70,payment,139.55
122,107,15,existence,353.05
1,1,0,debt,13.15
157,113,44,payment,463.18
128,98,30,existence,241.72
153,99,54,existence,309.29
45,23,22,existence,121.39
33,28,5,payment,87.32
148,27,121,existence,373.4
8,5,3,debt,46.14
121,47,74,debt,276.38
149,147,2,existence,365.36
116,70,46,existence,328.93
38,36,2,debt,135.26
55,55,0,debt,192.2
128,5,123,debt,305.95
150,11,139,debt,392.88
103,29,74,debt,294.76
137,136,1,debt,368.6
142,25,117,payment,269.04
9,1,8,payment,28.14
73,11,62,payment,108.74
148,59,89,debt,387.61
45,7,38,debt,91.92
150,30,120,payment,346.44
90,9,81,debt,179.49
89,24,65,debt,199.49
105,73,32,payment,355.49
85,13,72,payment,231.24
107,92,15,payment,249.76
102,49,53,debt,231.89
40,22,18,existence,74.78
103,72,31,existence,274.78
91,16,75,existence,181.09
137,37,100,debt,388.68
95,89,6,payment,318.96
33,25,8,existence,83.89
147,69,78,payment,391.69
100,65,35,existence,270.72
91,4,87,existence,129.46
19,18,1,debt,76.17
52,17,35,existence,84.13
141,11,130,existence,273.49
109,57,52,payment,363.86
41,28,13,payment,132.5
21,19,2,existence,55.84
66,66,0,debt,159.34
85,68,17,existence,197.7
140,106,34,existence,319.83
103,37,66,existence,237.17
140,7,133,debt,243.15
40,24,16,payment,81.99
42,7,35,existence,81.73
51,12,39,debt,117.37
84,56,28,existence,230.02
140,114,26,payment,465.13
128,67,61,existence,243.3
4,2,2,payment,18.52
140,60,80,existence,250.82
59,50,9,debt,219.63
18,3,15,existence,36.94
109,15,94,debt,240.3
107,94,13,existence,296.9
7,4,3,existence,19.23
115,109,6,debt,270.62
32,22,10,payment,96.48
72,63,9,payment,193.29
67,41,26,existence,194.58
6,4,2,debt,21.67
35,31,4,payment,123.51
24,23,1,debt,104.19
131,20,111,debt,346.99
125,112,13,existence,446.09
69,32,37,existence,173.77
99,10,89,existence,152.07
136,32,104,existence,361.12
38,29,9,existence,93.29
64,53,11,payment,181.35
9,3,6,existence,19.46
122,116,6,existence,288.35
58,20,38,payment,134.91
47,25,22,payment,147.78
58,27,31,payment,110.56
35,34,1,payment,135.6
42,31,11,payment,146.86
29,3,26,existence,38.69
94,84,10,debt,368.64
36,33,3,existence,87.39
156,9,147,debt,248.22
16,11,5,existence,34.12
147,71,76,debt,434.05
143,70,73,debt,430.89
136,25,111,payment,347.9
77,27,50,payment,179.98
86,30,56,payment,191.33
38,8,30,debt,116.74
18,14,4,existence,54.22
10,3,7,debt,33.91
113,14,99,payment,274.06
83,64,19,existence,258.84
101,13,88,existence,142.07
4,4,0,payment,22.42
60,55,5,debt,136.35
122,121,1,existence,451.51
151,48,103,payment,363.18
112,104,8,existence,257.76
33,4,29,payment,87.06
72,32,40,debt,136.22
29,4,25,payment,51.72
78,22,56,debt,205.87
24,24,0,existence,66.54
33,19,14,existence,109.39
39,1,38,payment,78.42
52,46,6,debt,154.82
48,14,34,payment,100.3
146,37,109,existence,263.42
57,51,6,debt,210.1
30,20,10,debt,83.37
57,43,14,payment,186.47
48,37,11,payment,170.06
34,17,17,payment,123.07
35,3,32,existence,58.52
86,28,58,payment,153.36
74,27,47,existence,210.91
105,24,81,debt,174.31
147,79,68,payment,316.99
144,98,46,existence,399.65
82,67,15,debt,305.69
49,8,41,payment,101.47
138,38,100,existence,205.94
60,13,47,existence,143.47
145,72,73,existence,291.96
39,29,10,existence,129.7
61,50,11,payment,174.68
16,9,7,payment,57.32
120,9,111,payment,289.51
52,21,31,payment,109.82
30,27,3,existence,90.45
97,42,55,existence,214.95
80,29,51,debt,147.95
153,55,98,existence,296.33
72,35,37,debt,172.7
92,45,47,debt,211.73
27,23,4,existence,78.79
86,43,43,existence,177.02
107,3,104,debt,198.12
105,51,54,debt,298.89
29,27,2,payment,97.11
68,4,64,payment,131.98
45,11,34,payment,106.61
106,73,33,existence,233
65,16,49,payment,161.04
145,89,56,existence,246.97
58,49,9,debt,159.17
32,13,19,debt,96.67
105,105,0,existence,334.72
120,27,93,existence,301.14
112,95,17,debt,357.18
61,5,56,debt,139.68
34,21,13,payment,121.02
23,13,10,payment,70.96
18,15,3,debt,51.93
60,46,14,existence,172.59
106,41,65,payment,188.91
36,27,9,existence,106.63
157,31,126,debt,325.47
39,12,27,debt,110.49
6,3,3,existence,17.4
42,4,38,debt,86.59
102,83,19,debt,381.92
67,33,34,existence,111.59
14,2,12,debt,35.79
153,115,38,debt,534.72
22,21,1,existence,77.14
115,6,109,debt,290.59
70,56,14,debt,154.91
23,13,10,debt,80.21
64,50,14,existence,167.68
140,58,82,payment,325.51
15,10,5,payment,42.44
145,116,29,payment,382.29
4,3,1,existence,9.3
6,1,5,payment,26.68
3,2,1,payment,26.29
146,92,54,existence,343.09
68,64,4,debt,226.74
65,1,64,debt,134.3
107,2,105,debt,224.5
15,9,6,payment,56.49
114,111,3,debt,286.44
74,22,52,debt,235.35
2,1,1,existence,3.18
48,2,46,payment,74.04
19,8,11,payment,60.97
139,85,54,existence,326.47
123,71,52,payment,320.79
116,89,27,existence,243.44
37,28,9,payment,111.5
66,31,35,debt,186.42
84,37,47,debt,210.75
17,15,2,payment,51.94
28,19,9,existence,72.18
136,39,97,payment,218.36
116,52,64,existence,336.45
96,15,81,debt,173.21
10,2,8,existence,27.18
150,3,147,existence,261.61
80,11,69,debt,221.3
139,29,110,payment,289.78
88,38,50,debt,244.4
44,37,7,payment,114.83
31,13,18,existence,87.57
121,8,113,existence,160.43
29,2,27,payment,87.79
75,61,14,existence,186.44
10,1,9,payment,26.45
68,21,47,payment,195.38
25,9,16,payment,61.2
92,60,32,debt,260.97
141,78,63,payment,279.35
1,1,0,debt,13.46
76,6,70,payment,151.5
37,27,10,payment,106.6
7,1,6,existence,11.36
124,16,108,debt,259.7
32,18,14,existence,93.45
152,33,119,existence,229.59
106,66,40,debt,304.74
96,64,32,debt,219.05
35,23,12,debt,104.94
46,17,29,debt,113.16
156,86,70,existence,423.23
153,53,100,debt,379.78
61,34,27,debt,137.36
143,92,51,debt,269.81
36,24,12,debt,86.43
141,12,129,payment,344.18
87,34,53,payment,225.07
150,77,73,existence,372.38
74,12,62,existence,181.65
31,7,24,existence,67.77
10,2,8,existence,20.17
71,53,18,payment,199.31
81,66,15,existence,200.15
151,57,94,debt,284.17
2,1,1,existence,4.34
49,18,31,existence,143.39
157,108,49,existence,349.19
87,11,76,existence,124.84
54,30,24,existence,139.01
65,20,45,payment,170.38
59,15,44,debt,112.8
118,115,3,existence,363.97
117,93,24,payment,310.92
2,2,0,existence,5.83
123,117,6,debt,306.7
22,22,0,payment,80.98
30,9,21,payment,75.16
125,32,93,payment,322.14
31,29,2,existence,74.3
57,23,34,debt,149.09
38,38,0,existence,109.07
3,1,2,existence,6.91
129,21,108,payment,280.5
127,122,5,payment,372.72
1,1,0,debt,17.02
148,74,74,payment,391.42
148,1,147,existence,270.03
112,57,55,existence,186
109,15,94,existence,267.49
52,52,0,debt,143.3
108,71,37,existence,333.59
101,83,18,debt,228.83
80,1,79,existence,196.58
113,71,42,payment,201.98
105,7,98,existence,135.38
123,5,118,existence,189.74
37,11,26,existence,91.89
135,113,22,payment,430.09
58,7,51,payment,86.62
150,43,107,payment,403
88,70,18,payment,188.71
138,96,42,debt,379.59
89,38,51,debt,223.67
45,6,39,debt,119.76
82,76,6,payment,207.14
106,20,86,payment,161.36
136,62,74,debt,294.75
144,27,117,existence,246.81
64,59,5,existence,173.89
52,2,50,debt,141.6
56,56,0,payment,195.3
115,100,15,payment,301.86
149,58,91,existence,378.95
33,4,29,debt,65.38
153,33,120,debt,276.05
51,42,9,payment,143.86
119,51,68,debt,361.26
139,134,5,payment,354.54
26,19,7,existence,57.25
62,54,8,payment,151.77
95,8,87,payment,209.16
57,35,22,existence,113.55
84,69,15,payment,270.7
155,84,71,payment,386.28
105,4,101,existence,255.62
77,75,2,debt,207.83
68,63,5,payment,186.54
56,20,36,existence,102.56
52,1,51,debt,143.65
141,35,106,existence,275.8
59,12,47,debt,183.68
61,31,30,payment,128.97
137,21,116,existence,357.24
63,35,28,existence,155.64
3,1,2,existence,7.13
110,28,82,debt,197.11
104,99,5,debt,269.22
